pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
HALLMARK_ADIPOGENESIS,0.0521262002743484,0.0744660003919263,0.281838817848079,1.27183186435801,37,200,SQOR|IDH3A|MRPL15|AK2|NABP1|ATP1B3|NMT1|IFNGR1|GHITM|UQCRQ|MDH2|GRPEL1|PTGER3|MTCH2|ANGPTL4|COX7B|CYC1|SUCLG1|SDHB|ALDH2|COX8A|COX6A1|UQCR11|POR|UQCR10|ALDOA|DGAT1|ADIPOR2|SLC25A10|DLAT|NDUFS3|TALDO1|NDUFAB1|UBQLN1|CD36|DHRS7|AIFM1|NDUFB7|RNF11|SDHC|ACO2|SLC5A6
HALLMARK_ALLOGRAFT_REJECTION,0.00137174211248285,0.00370864856846165,0.548896853131236,2.47696365386562,0,200,CD47|STAT1|IRF7|UBE2N|IL4R|NME1|NPM1|GZMB|MMP9|PSMB10|TAP1|IFNGR1|IRF8|GBP2|LCK|LTB|CD2|BCL3|GZMA|CCL22|CD3D|CSK|CXCL13|LYN|IL12RB1|EIF3J|SRGN|HLA-E|CXCL9|MRPL3|IFNG|TAP2|PRF1|RARS1|IL1B|CCL4|WARS1|CD247|PTPRC|UBE2D1|SIT1|HLA-G|CD80|CXCR3|ITGB2|TLR2|TAPBP|NOS2|IL2RG|IL18RAP|CCL7|EREG|CD28|CD3G|CCL2|BRCA1|CTSS|HIF1A|GPR65|C2|SOCS1|IL2RA|HLA-DMB|FYB1|MTIF2|CD7|CAPG|ITGAL|ABCE1|GLMN|ST8SIA4|CCL19|IL6|CCR5|IL12B|CD8A|TNF|IGSF6|ABI1|CCND2|CDKN2A|CD86|ITK|FASLG|ZAP70|HCLS1|HLA-DOB|LCP2|WAS|CD40|TRAF2|CCR1|ETS1|HLA-DRA|ICAM1|CCL5|KLRD1|HLA-DQA1|HLA-DOA|IKBKB|CD96
HALLMARK_ANDROGEN_RESPONSE,0.00615384615384615,0.0113960113960114,-0.350139900546921,-1.62237292199041,1,101,PTPN21|VAPA|UBE2I|CCND1|ANKH|PIAS1|GPD1L|TSC22D1|ZBTB10|MERTK|LIFR|APPBP2|ABHD2|SORD|SLC38A2|BMPR1B|ZMIZ1|AKAP12|TPD52|IDI1|SELENOP|PMEPA1|ABCC4|SLC26A2|PLPP1|PDLIM5|FKBP5|PGM3|HOMER2|RAB4A|FADS1|MAF|ELK4|CDK6|CAMKK2|INSIG1|KRT19|SPDEF|HPGD|ACSL3|ELOVL5|TMPRSS2|DHCR24|STK39|ITGAV|KRT8|GSR|CDC14B|UAP1|RPS6KA3|B4GALT1|ACTN1
HALLMARK_ANGIOGENESIS,0.0497512437810945,0.0731635937957273,-0.391213819978591,-1.45021739296888,19,36,POSTN|JAG2|PTK2|FGFR1|APP|PDGFA|KCNJ8|COL3A1|SERPINA5|LPL|JAG1|NRP1|S100A4|FSTL1|ITGAV|VCAN|MSX1
HALLMARK_APICAL_JUNCTION,0.315018315018315,0.375021803593232,-0.206754001995236,-1.04095768152848,85,200,CTNND1|TGFBI|TIAL1|CLDN8|CD34|MYH10|PKD1|AKT2|PARVA|EGFR|IRS1|NF1|GNAI1|ACTG2|NEGR1|CADM3|SGCE|JAM3|TMEM8B|TSC1|ITGA9|EPB41L2|LAMC2|CD99|MYL9|LIMA1|PTK2|ITGB1|MAP3K20|SORBS3|FLNC|AKT3|TSPAN4|CTNNA1|DLG1|CRAT|SLIT2|LAMA3|PTEN|ACTA1|ACTC1|THBS3|RRAS|GAMT|INSIG1|SYMPK|NEXN|VCL|ACTN4|COL16A1|PECAM1|CADM2|CLDN5|COL17A1|INPPL1|CDH11|PIK3CB|MMP2|ARHGEF6|NECTIN3
HALLMARK_APICAL_SURFACE,0.291530944625407,0.355525542226106,0.319601872172167,1.11735467904379,178,44,RHCG|AFAP1L2|LYN|PCSK9|LYPD3|ADAM10|SHROOM2|ADIPOR2|IL2RG|BRCA1|FLOT2|CRYBG1
HALLMARK_APOPTOSIS,0.00277392510402219,0.00630437523641407,0.348755185298868,1.53679180239343,1,161,SOD2|GNA15|CYLD|CASP4|GCH1|ETF1|TOP2A|ISG20|MCL1|TNFSF10|BID|DFFA|TAP1|IFNGR1|CASP7|CASP1|CD2|BTG3|CDC25B|HMOX1|BIK|IRF1|BIRC3|CFLAR|DNM1L|PRF1|FDXR|IL1B|SAT1|PLAT|BAX|TSPO|EREG|BCAP31|IFITM3|BRCA1|GPX1|TNFRSF12A|VDAC2|IL6|TNF|CDKN1A|CASP8|CCND2|PPP2R5B|FASLG|SLC20A1|CDK2|LEF1|HMGB2|CASP3|GADD45A|CD44|EBP
HALLMARK_BILE_ACID_METABOLISM,0.00334448160535117,0.00704423781346858,-0.363834799299123,-1.69474235413303,0,112,BCAR3|NR3C2|PHYH|AQP9|LONP2|EFHC1|AR|CAT|SLC29A1|SOD1|ABCA3|CYP39A1|ABCA5|HACL1|RXRA|CYP27A1|OPTN|IDI1|PEX19|GNPAT|PECR|AMACR|FADS1|FADS2|SLC22A18|ABCA8|TFCP2L1|EPHX2|PEX11A|ACSL1|HSD3B1|ABCA9|HSD17B11|ATXN1|PEX1|BMP6|ABCA6|DHCR24|SLC27A2|ALDH1A1|HSD17B6|BBOX1|PEX12
HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.667692307692308,0.695512820512821,0.229381034393487,0.89323788805687,433,74,FABP5|S100A11|ETHE1|CXCL16|PLSCR1|SQLE|LDLR|FBXO6|CPEB2|TNFRSF12A|SREBF2|STARD4|PLAUR|PCYT2|EBP|LGMN|ATF5|HMGCS1|ERRFI1
HALLMARK_COAGULATION,0.514644351464435,0.584823126664131,0.226376018592393,0.975824985236826,368,138,GDA|KLK8|CFB|F12|RABIF|MMP9|CTSB|SERPINA1|DUSP14|PLAU|THBD|PLAT|PLEK|WDR1|PREP|P2RY1|ADAM9|LAMP2|C2|FURIN|MMP1|ARF4|COMP|MAFF|PRSS23|LGMN|BMP1|C1S|RAC1|SERPINE1|PROC|SIRT2|SERPINB2|TMPRSS6|F2|MMP11|TF|APOC2|GNB2|C1R
