pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_2_LTR_CIRCLE_FORMATION,0.238970588235294,0.412998492433724,0.564572403788222,1.24311948641042,129,7,XRCC6|XRCC5|XRCC4|HMGA1|LIG4
REACTOME_A_TETRASACCHARIDE_LINKER_SEQUENCE_IS_REQUIRED_FOR_GAG_SYNTHESIS,0.00254452926208651,0.015733819347227,-0.535761962244008,-1.81384032355235,0,27,SDC4|SDC2|DCN|GPC4|GPC6|HSPG2|UXS1|XYLT2|GPC3|GPC1|CSPG5|CSPG4|VCAN|B3GAT3|XYLT1|SDC1|BGN
REACTOME_ABACAVIR_ADME,0.897435897435897,0.940597037371231,-0.266122858405417,-0.630139662360123,419,8,ABCB1|SLC22A3|PCK1|ADH1A|SLC22A2
REACTOME_ABACAVIR_TRANSMEMBRANE_TRANSPORT,0.463675213675214,0.631064437804727,-0.483579529258388,-1.00195457912352,216,5,ABCB1|SLC22A3|SLC22A2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,0.00149700598802395,0.0121181297256976,0.587808065685858,2.36892962830253,0,89,DERL1|PSMB2|PSMA3|PSMB5|PSMA5|PSMD12|PSMB3|PSMA6|ABCC1|PSMC4|ABCA12|EIF2S1|EIF2S2|VCP|PSMD2|PSMA2|PSMB6|PSMD11|PSMC3|PSMA7|PSMD6|PSMA4|PSMD1|ABCG4|PSMD14|PSMB1|ABCB6|PSMD13|PSMD8|ABCG1|SEM1|PSMC5|ADRM1|PSMC6|PSMC1|PSMA1|PSMC2|PEX3|DERL3|ABCC5|ERLIN1|RPS27A|ABCC10|PSMD7|PSMB7|ABCD3|SEL1L
REACTOME_ABC_TRANSPORTER_DISORDERS,0.0015600624024961,0.0121181297256976,0.65011556286429,2.47611853338916,0,65,DERL1|PSMB2|PSMA3|PSMB5|PSMA5|PSMD12|PSMB3|PSMA6|PSMC4|ABCA12|VCP|PSMD2|PSMA2|PSMB6|PSMD11|PSMC3|PSMA7|PSMD6|PSMA4|PSMD1|PSMD14|PSMB1|ABCB6|PSMD13|PSMD8|SEM1|PSMC5|ADRM1|PSMC6|PSMC1|PSMA1|PSMC2|DERL3|ERLIN1|RPS27A|PSMD7|PSMB7
REACTOME_ABC_TRANSPORTERS_IN_LIPID_HOMEOSTASIS,0.586387434554974,0.728196209555065,0.31902638556599,0.904599212070564,335,17,ABCA12|ABCG4|ABCG1|PEX3|ABCD3|ABCA7
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_EXIT_IN_CANCER_DUE_TO_RB1_DEFECTS,0.0432525951557093,0.124264288654747,0.511591820509404,1.50868317293947,24,20,UBE2C|UBE2S|ANAPC7|UBE2D1|SKP2|ANAPC11|ANAPC1|UBE2E1|RB1|CDC27|CDC26|FZR1|CDC23
REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS,0.0820244328097731,0.19807792085279,0.500299746575881,1.41859976800581,46,17,TFDP1|CCNE1|CCNE2|E2F3|E2F2|CDKN1A|E2F1|CCND2|CDK2|CDK4|RB1
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,0.00168918918918919,0.0121181297256976,0.669023651682389,2.05250059242168,0,23,POLR2H|NELFCD|POLR2F|NCBP2|NCBP1|POLR2L|POLR2E|NELFE|SUPT4H1|POLR2D|POLR2G|GTF2F1|POLR2I|POLR2A|POLR2J|CTDP1
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS,0.0938053097345133,0.219124298687026,0.523205123783522,1.41394168200153,52,14,CHRNA9|CHRNA5|CHRNA3|CHRNE|CHRNG|CHRNB2|CHRNA4|CHRNA2|CHRNB3|CHRNA7|CHRND|CHRNA6
REACTOME_ACETYLCHOLINE_INHIBITS_CONTRACTION_OF_OUTER_HAIR_CELLS,0.822097378277154,0.885884414099249,0.355349645428061,0.706977997307289,438,5,CHRNA9|CHRNA10
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE,0.412587412587413,0.585352092352092,-0.341830279743217,-1.03750156508739,176,17,VAMP2|SYT1|CPLX1|STXBP1|PPFIA2|TSPOAP1|UNC13B|RAB3A|STX1A|SLC5A7|CHAT|PPFIA4|SNAP25|PPFIA3|SLC18A3|RIMS1|PPFIA1
REACTOME_ACETYLCHOLINE_REGULATES_INSULIN_SECRETION,0.263274336283186,0.440024993737332,-0.449479939703066,-1.14944080063902,118,10,GNA11|GNAQ|CHRM3|PLCB1|PRKCA
REACTOME_ACROSOME_REACTION_AND_SPERM_OOCYTE_MEMBRANE_BINDING,0.955128205128205,0.976536083882646,-0.27405985107479,-0.567839426866173,446,5,CD9|IZUMO2|ACR|IZUMO4|IZUMO1
